Respondent_ID,Institutional_AI_Policy,AI_Regulation_Need,Academic_Ethical_Risk,Information_Reliability_Risk,Social_Impact_Risk,Privacy_Concern,Student_Ethical_Engagement
1,No,2.5,3.0,3.0,3.0,3.0,2.5
3,Yes,2.0,2.0,1.5,1.6666666666666667,2.0,1.25
5,I don't know,4.0,2.5,2.0,1.6666666666666667,1.0,2.25
7,I don't know,3.25,2.5,2.0,2.0,2.0,3.0
8,No,2.25,3.25,2.5,3.6666666666666665,3.0,3.25
10,I don't know,3.0,3.0,3.0,3.0,3.0,3.0
11,Yes,4.5,4.5,5.0,3.6666666666666665,3.0,3.75
12,I don't know,2.0,3.25,3.5,1.6666666666666667,1.0,2.0
14,No,5.0,5.0,5.0,5.0,5.0,5.0
16,Yes,3.5,3.0,2.0,4.666666666666667,2.0,4.5
17,No,4.0,2.75,3.0,4.0,2.0,4.5
18,I don't know,2.25,3.0,3.5,4.0,4.0,4.5
21,I don't know,2.0,3.0,,,,2.5
22,No,2.5,3.0,3.0,2.6666666666666665,3.0,3.25
23,I don't know,2.0,3.25,2.5,2.0,3.0,2.5
24,Yes,2.75,3.0,3.0,3.3333333333333335,3.0,4.0
32,N/A,,,,,,
33,I don't know,3.5,3.5,4.0,3.6666666666666665,3.0,2.75
34,No,3.25,2.0,2.0,2.6666666666666665,2.0,1.75
35,No,1.75,2.75,2.5,3.6666666666666665,1.0,3.0
38,No,3.5,2.25,1.5,2.0,2.0,3.5
40,No,3.0,3.5,3.5,3.6666666666666665,3.0,3.5
41,No,3.5,2.25,1.5,2.0,2.0,3.5
42,No,3.25,2.0,2.0,2.0,2.0,3.0
44,No,1.5,3.25,3.5,1.0,2.0,3.0
53,No,3.75,2.25,2.5,2.3333333333333335,2.0,2.25
54,Yes,3.75,2.0,2.0,2.0,2.0,3.5
55,No,3.25,4.25,3.5,1.6666666666666667,5.0,3.5
56,I don't know,3.0,2.5,2.5,2.3333333333333335,3.0,2.5
58,I don't know,3.0,2.5,2.5,2.3333333333333335,3.0,2.0
59,Yes,3.0,3.0,3.0,2.3333333333333335,3.0,3.0
60,I don't know,3.5,2.75,2.0,2.3333333333333335,2.0,3.5
61,No,3.0,2.25,3.0,2.3333333333333335,2.0,2.25
62,I don't know,4.0,4.333333333333333,4.5,4.666666666666667,4.0,4.75
63,No,3.5,4.0,3.0,3.3333333333333335,2.0,3.75
66,Yes,3.75,3.5,3.5,3.3333333333333335,4.0,4.25
70,I don't know,3.25,2.5,5.0,2.0,3.0,3.25
84,I don't know,4.0,4.0,4.0,3.0,3.0,4.0
85,I don't know,3.5,2.25,2.0,2.3333333333333335,1.0,3.25
86,I don't know,3.75,3.5,4.0,3.3333333333333335,3.0,3.5
88,I don't know,4.0,4.25,3.5,5.0,3.0,3.25
90,No,4.5,4.25,1.5,3.6666666666666665,3.0,3.0
91,I don't know,5.0,5.0,4.5,4.666666666666667,4.0,3.5
92,I don't know,3.5,3.0,3.0,3.0,2.0,3.25
93,I don't know,3.75,3.75,,4.0,2.0,3.5
94,I don't know,3.25,2.5,2.5,2.0,2.0,3.0
95,Yes,3.75,4.25,4.0,4.0,3.0,3.25
96,I don't know,2.75,3.25,2.5,3.3333333333333335,3.0,4.25
97,I don't know,3.0,3.25,3.0,3.0,3.0,3.0
99,Yes,3.0,3.0,3.0,3.0,3.0,3.5
100,N/A,,,,,,
101,I don't know,4.0,4.0,4.0,3.3333333333333335,4.0,3.0
103,No,3.0,3.25,3.5,3.3333333333333335,2.0,2.75
104,No,3.5,3.25,4.0,3.0,4.0,2.75
105,I don't know,3.0,3.0,3.0,3.0,3.0,3.0
106,Yes,1.75,3.5,2.0,1.3333333333333333,3.0,2.0
107,Yes,2.5,2.25,2.5,3.0,3.0,2.25
108,Yes,3.25,3.0,3.5,3.0,4.0,3.0
111,Yes,3.25,3.5,5.0,3.3333333333333335,4.0,3.5
116,I don't know,1.5,1.0,1.0,1.0,1.0,3.0
117,I don't know,1.75,2.25,3.0,1.6666666666666667,2.0,2.75
120,I don't know,3.5,3.75,4.5,4.0,4.0,3.25
125,N/A,,,,,,
128,I don't know,4.0,3.5,2.5,4.0,2.0,4.0
129,I don't know,4.75,4.75,4.5,4.666666666666667,5.0,4.75
130,I don't know,4.0,3.5,2.5,3.3333333333333335,2.0,4.0
136,N/A,,,,,,
139,I don't know,3.0,3.0,3.5,4.0,4.0,3.25
142,No,3.5,3.75,4.0,3.0,3.0,3.5
143,N/A,,,,,,
144,N/A,,,,,,
148,No,3.0,3.0,3.0,3.0,3.0,3.0
151,I don't know,3.25,3.5,3.0,3.0,3.0,3.0
152,No,2.5,3.25,3.0,4.0,3.0,3.5
153,No,3.0,4.0,4.0,4.0,2.0,4.25
