Respondent_ID,Satisfaction_Index,Perceived_Control_Importance_Index
1,,
3,2.142857142857143,3.0
5,3.4285714285714284,4.25
7,3.5714285714285716,3.0
8,4.714285714285714,4.25
10,3.0,3.0
11,3.0,3.25
12,2.7142857142857144,3.5
14,5.0,5.0
16,3.2857142857142856,3.5
17,3.857142857142857,4.0
18,2.0,2.25
21,2.4285714285714284,2.75
22,3.142857142857143,3.5
23,3.5714285714285716,4.0
24,2.5714285714285716,3.0
32,,
33,3.2857142857142856,3.25
34,3.857142857142857,4.25
35,4.142857142857143,4.25
38,4.0,4.25
40,2.857142857142857,3.0
41,4.0,4.25
42,2.857142857142857,4.0
44,2.4285714285714284,3.0
53,,
54,3.857142857142857,3.75
55,2.142857142857143,3.5
56,2.5714285714285716,2.75
58,2.2857142857142856,2.25
59,3.857142857142857,2.75
60,3.142857142857143,3.25
61,4.428571428571429,4.0
62,2.7142857142857144,4.0
63,2.7142857142857144,3.5
66,3.4285714285714284,3.5
70,3.0,4.25
84,3.4285714285714284,4.0
85,2.2857142857142856,2.25
86,4.285714285714286,4.5
88,3.857142857142857,4.25
90,3.0,3.0
91,3.4285714285714284,5.0
92,2.857142857142857,3.5
93,3.1666666666666665,3.25
94,2.5714285714285716,2.75
95,3.5714285714285716,3.25
96,3.2857142857142856,4.75
97,3.0,3.0
99,3.2857142857142856,3.5
100,,
101,5.0,5.0
103,3.142857142857143,2.5
104,3.142857142857143,3.5
105,3.0,3.0
106,3.7142857142857144,3.3333333333333335
107,2.857142857142857,2.5
108,3.0,3.0
111,3.857142857142857,3.75
116,3.857142857142857,4.25
117,2.5714285714285716,3.0
120,4.714285714285714,4.75
125,,
128,1.8571428571428572,3.25
129,5.0,5.0
130,1.5714285714285714,2.0
136,,
139,3.2857142857142856,4.0
142,3.142857142857143,3.5
143,,
144,,
148,2.5714285714285716,3.0
151,3.0,3.0
152,1.5714285714285714,3.0
153,3.4285714285714284,3.75
159,3.0,3.25
163,3.142857142857143,4.0
167,3.142857142857143,4.25
168,3.142857142857143,3.0
169,3.2857142857142856,3.75
170,4.571428571428571,3.5
177,,
181,2.5714285714285716,2.75
182,,
