Respondent_ID,Citizenship,Gender,Study_Country,Institution_Public,Student_Status,Study_Level,Field_of_Study,Learning_Method,Job_Confidence
1,Afghanistan,Female,Afghanistan,Yes,Full-time,Undergraduate (Bachelor's),Arts and Humanities,Traditional (Classroom),Moderately confident
3,Afghanistan,Male,Albania,Yes,Full-time,Undergraduate (Bachelor's),Arts and Humanities,Traditional (Classroom),Not at all confident
5,Afghanistan,Female,Spain,Yes,Part-time,Postgraduate (Master's),Social Sciences,Blended (Hybrid),Moderately confident
7,Afghanistan,Female,Turkey,Yes,Full-time,Undergraduate (Bachelor's),Social Sciences,Traditional (Classroom),Very confident
8,Afghanistan,Female,Turkey,Yes,Full-time,Undergraduate (Bachelor's),Arts and Humanities,Traditional (Classroom),Moderately confident
10,Afghanistan,Female,Turkey,Yes,Full-time,Undergraduate (Bachelor's),Arts and Humanities,Online,Moderately confident
11,Afghanistan,Female,United Arab Emirates,No,Full-time,Undergraduate (Bachelor's),Applied Sciences,Traditional (Classroom),Very confident
12,Afghanistan,Male,N/A,N/A,N/A,N/A,N/A,N/A,N/A
14,Albania,Male,Albania,No,Full-time,Undergraduate (Bachelor's),Applied Sciences,Online,Very confident
16,Albania,Female,Albania,Yes,Full-time,Undergraduate (Bachelor's),Social Sciences,Traditional (Classroom),Not at all confident
17,Albania,Female,Albania,Yes,Full-time,Undergraduate (Bachelor's),Social Sciences,Traditional (Classroom),Slightly confident
18,Albania,Female,Albania,Yes,Full-time,Undergraduate (Bachelor's),Social Sciences,Traditional (Classroom),Moderately confident
21,Albania,Female,Albania,Yes,Full-time,Undergraduate (Bachelor's),Social Sciences,Traditional (Classroom),Not at all confident
22,Albania,Female,Albania,Yes,Full-time,Undergraduate (Bachelor's),Social Sciences,Traditional (Classroom),Moderately confident
23,Albania,Male,Albania,Yes,Full-time,Undergraduate (Bachelor's),Applied Sciences,Traditional (Classroom),Very confident
24,Albania,Female,Albania,Yes,Full-time,Undergraduate (Bachelor's),Applied Sciences,Traditional (Classroom),Very confident
32,Albania,Female,Albania,Yes,Full-time,Undergraduate (Bachelor's),Applied Sciences,Traditional (Classroom),Very confident
33,Albania,Female,Albania,Yes,Full-time,Undergraduate (Bachelor's),Applied Sciences,Traditional (Classroom),Slightly confident
34,Albania,Male,Albania,Yes,Full-time,Undergraduate (Bachelor's),Applied Sciences,Blended (Hybrid),Moderately confident
35,Albania,Male,Albania,Yes,Full-time,Undergraduate (Bachelor's),Applied Sciences,Traditional (Classroom),Moderately confident
38,Albania,Male,Albania,Yes,Full-time,Undergraduate (Bachelor's),Applied Sciences,Online,Moderately confident
40,Albania,Female,Albania,Yes,Full-time,Undergraduate (Bachelor's),Applied Sciences,Traditional (Classroom),Moderately confident
41,Albania,Male,Albania,Yes,Full-time,Undergraduate (Bachelor's),Applied Sciences,Traditional (Classroom),Moderately confident
42,Albania,Male,Albania,Yes,Full-time,Undergraduate (Bachelor's),Applied Sciences,Traditional (Classroom),Moderately confident
44,Albania,Male,Albania,Yes,Full-time,Undergraduate (Bachelor's),Applied Sciences,Blended (Hybrid),Moderately confident
53,Albania,Male,Albania,Yes,Full-time,Undergraduate (Bachelor's),Applied Sciences,Traditional (Classroom),Moderately confident
54,Albania,Female,Albania,Yes,Part-time,Undergraduate (Bachelor's),Social Sciences,Traditional (Classroom),Very confident
