Respondent_ID,Used_ChatGPT,ChatGPT_Version,General_Usage_Frequency,Experience_with_ChatGPT,First_Exposure_ChatGPT,Academic_Usage_Index,Professional_Usage_Index,Creative_Usage_Index,Personal_Usage_Index
1,Yes,ChatGPT-4,Moderately,Good,Social media,3.75,4.0,3.0,4.0
3,Yes,ChatGPT-3.5,Occasionally,Very bad,Social media,1.75,1.5,2.3333333333333335,1.6666666666666667
5,Yes,ChatGPT-3.5,Moderately,Good,Friends/Family,3.25,3.5,3.0,3.0
7,Yes,ChatGPT-3.5,Rarely,Good,Friends/Family,2.0,1.0,1.6666666666666667,1.3333333333333333
8,Yes,ChatGPT-3.5,Occasionally,Very good,Social media,3.25,1.5,2.3333333333333335,2.3333333333333335
10,Yes,ChatGPT-3.5,Occasionally,Good,Class/Work,2.5,2.5,2.3333333333333335,3.0
11,Yes,ChatGPT-3.5,Occasionally,Good,Social media,1.75,1.5,1.6666666666666667,1.0
12,Yes,ChatGPT-3.5,Rarely,Neutral,Social media,1.25,1.5,1.0,1.0
14,Yes,ChatGPT-3.5,Extensively,Very good,Social media,5.0,5.0,5.0,5.0
16,Yes,ChatGPT-3.5,Rarely,Good,Class/Work,,1.0,,
17,Yes,ChatGPT-3.5,Rarely,Neutral,Social media,1.75,1.5,1.0,2.0
18,Yes,ChatGPT-3.5,Moderately,Neutral,Friends/Family,1.0,1.0,1.3333333333333333,1.3333333333333333
21,Yes,Both,Occasionally,Good,Friends/Family,1.5,2.5,2.6666666666666665,2.6666666666666665
22,Yes,ChatGPT-3.5,Rarely,Good,Social media,1.5,1.0,2.0,2.3333333333333335
23,Yes,ChatGPT-3.5,Considerably,Good,Mainstream media,3.5,4.0,3.0,3.6666666666666665
24,Yes,ChatGPT-3.5,Rarely,Good,Social media,1.75,2.0,2.0,1.3333333333333333
32,Yes,N/A,N/A,N/A,Class/Work,3.0,3.0,3.3333333333333335,3.3333333333333335
33,Yes,ChatGPT-3.5,Rarely,Very good,Social media,2.5,2.5,3.0,2.6666666666666665
34,Yes,ChatGPT-3.5,Moderately,Very good,Social media,3.75,2.5,3.0,2.3333333333333335
35,Yes,ChatGPT-3.5,Occasionally,Very good,Mainstream media,1.25,2.5,2.0,1.3333333333333333
38,Yes,ChatGPT-3.5,Rarely,Very good,Social media,3.0,4.0,2.6666666666666665,4.666666666666667
40,Yes,ChatGPT-4,Rarely,Good,Social media,1.25,1.0,1.6666666666666667,1.0
41,Yes,ChatGPT-3.5,Rarely,Very good,Social media,3.25,3.5,2.6666666666666665,3.3333333333333335
42,Yes,ChatGPT-3.5,Considerably,Very good,Mainstream media,3.0,3.0,3.0,3.0
44,Yes,ChatGPT-3.5,Occasionally,Neutral,Social media,1.0,1.5,1.0,1.3333333333333333
53,Yes,ChatGPT-4,Moderately,Good,Social media,3.5,3.0,3.3333333333333335,2.0
54,Yes,Both,Rarely,Good,Class/Work,3.75,3.5,3.6666666666666665,3.3333333333333335
55,Yes,ChatGPT-3.5,Occasionally,Neutral,Social media,2.75,3.0,3.0,2.6666666666666665
56,Yes,ChatGPT-3.5,Rarely,Good,Class/Work,2.25,2.5,3.3333333333333335,2.3333333333333335
58,Yes,ChatGPT-3.5,Moderately,Good,Class/Work,2.0,2.5,2.0,2.3333333333333335
59,Yes,ChatGPT-3.5,Moderately,Neutral,Class/Work,3.0,2.5,3.0,3.0
60,Yes,ChatGPT-3.5,Considerably,Good,Friends/Family,2.75,4.0,3.6666666666666665,2.0
61,Yes,ChatGPT-3.5,Moderately,Very good,Class/Work,4.25,4.0,3.3333333333333335,3.0
62,Yes,ChatGPT-3.5,Occasionally,Very good,Social media,2.75,2.0,3.0,3.0
63,Yes,ChatGPT-3.5,Moderately,Good,Class/Work,3.25,3.0,3.3333333333333335,3.6666666666666665
66,Yes,ChatGPT-3.5,Rarely,Good,Social media,3.6666666666666665,,3.6666666666666665,2.0
70,Yes,ChatGPT-3.5,Moderately,Very good,Class/Work,3.5,1.0,3.6666666666666665,4.0
84,Yes,Both,Occasionally,Good,Class/Work,3.0,2.5,2.6666666666666665,2.6666666666666665
85,Yes,ChatGPT-3.5,Rarely,Neutral,Social media,2.0,1.0,2.0,1.3333333333333333
86,Yes,ChatGPT-3.5,Moderately,Very good,Friends/Family,1.0,2.0,2.3333333333333335,2.3333333333333335
88,Yes,ChatGPT-3.5,Occasionally,Very good,Social media,3.0,2.0,3.6666666666666665,2.3333333333333335
90,Yes,ChatGPT-3.5,Considerably,Very good,Class/Work,3.25,3.0,2.6666666666666665,3.6666666666666665
91,Yes,ChatGPT-3.5,Occasionally,Very good,Social media,2.75,2.0,3.0,3.6666666666666665
92,Yes,ChatGPT-3.5,Occasionally,Good,Class/Work,2.75,2.0,3.0,2.3333333333333335
93,Yes,ChatGPT-3.5,Rarely,Good,Class/Work,1.5,1.0,1.0,1.3333333333333333
